text,label
Fiskars strong portfolio of international brands which include Fiskars Iittala Gerber Silva and Buster,1
METALSZinc surges pct after Glencore cuts output fuelling metals rally,1
According to Scanfil demand for telecommunications network products fluctuated significantly in third quarter of and situation expected to remain unstable for rest of year,0
dbs launches new banking api developer platform india holds greatest promise for fintech partnerships,1
Theodosopoulos said Tellabs could of value to Nokia Siemens or Nortel given its leading supply status with Verizon along with highgrowth products,1
November Finnish textile and clothing company Marimekko Oyj HEL MMO1V announced on Friday opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc TYO,1
As part of reorganisation measures that will take place in spring Tamglass Finton will start personnel negotiations that will affect its entire staff of,0
tenaga s 3q net profit soars on lower icpt costs,1
toyota seeking to halve japan car models as domestic market shrinks,0
JP Morgan expects that Scala will lower Nobel Biocare s growth forecast for from current guidance of pct as well as operating margin target from current pct,0
According to ARehu s Managing Director Jouko Lahtinen project will stabilise costs and improve supply security,1
tabung haji denies deficit claim says able to return all deposits,1
UPDATE 3ExBarclays director accused by US of illegal tips to plumber,0
Under memorandum of understanding MoU parties will collaborate in preparing and implementing joint projects in fields of combined power and heat generation environmental protection and energy efficient technologies,1
higher sales sees concrete engineering products posting rm792m profit in 1q,1
repurchases shall decrease distributable capital and reserves,0
Glaston headquartered in Tampere Finland growing international glass technology company,1
mrcb disposes of interest in jvs to ekovest for rm85m,1
customs cancel plan to extend gst to over food items,1
threea resources shares rise following surge in 1q net profit,1
Finnair s Tallinnbased subsidiary Aero AS carried passengers decline of on routes between Helsinki and Baltic capitals and within Southern Finland,0
Operating loss of Pulp Paper Machinery unit over EUR 3mn in September August compared to profit of EUR mn year earlier,0
united engineers fy17 earnings fall to s896 mil on discontinued operations,0
fitch revises malaysian banks outlook in to negative amid challenges,0
Kone said in court papers that union action delayed repairs to elevators at federal courthouse on Jan and Saltonstall state office building on Jan,0
edra s sale to foreign firms can lead to higher electricity tariff says pkr,1
plaza premium lounge named world s best independent airport lounge for,1
bimb s 4q net profit climbs yoy revenue up,1
these s porelisted stocks could benefit from surprise delay in gst hike says credit suisse,1
Jobs will not transferred from Finland however,1
tech stocks touch record highs dollar steadies as trade fears ebb,0
lower liability cost could improve singapore banks net interest margins,1
social plan negotiations part of three year turnaround program which expected to ensure Salomon s future competitiveness,1
Shire in talks with Baxalta shareholders,1
unusual says mulling corporate exercise in response to sgx query,1
pentamaster s 2q net profit doubles on higher revenue better product mix,1
capitaland mall trust kept at buy in face of new retail supply,1
zecon to raise about rm65 mil from private placement for working capital,1
TeliaSonera secured deliveries for 4G modems with support for 3G and 2G during second quarter,1
roxypacific s 4q earnings drop to s727m declares final dividend of s pore cents,0
klci seen opening higher in line with global equities rally,1
opus goodwill impairment drags uem edgenta into red in 2q,1
hartalega mahb shares surge as they join klci list but fall of oil price hits dialog shares,1
mrcb fixes issue price at rm109 for first tranche private placement shares,1
pavilion reit to participate in ownership of pavilion bukit jalil mall,1
airbus raises base prices of commercial planes by average,0
csc s fy18 seen to weighed down mainly by weaker margins,0
bank negara to cooperate with rci on central bank forex probe,0
ytl power s gas service agreement seen to inked soon,1
prg inks strategic agreement with china firm to undertake construction jobs,1
Those will partially offset by mln eur gain on sale of its Celbi pulp plant in Portugal,1
with china s help cambodia strongman set to extend 33year rule,1
rhb strategy for singapore medical group s expansion into vietnam market just beginning,1
pm najib bukit bintang city centre significant nationallevel development,1
chew s group shares down s pore cents on news of thunderstorm damage,0
external factors to hurt airasia s earnings in fy17 to fy18 cimb research,0
cover story we took negative final investment decision,0
emas offshore narrows 1q net loss on higher finance and other income,0
gadang s 4q net profit climbs on better margins higher revenue,1
We also strengthen our existing partnership with Cybercom says Teleste CTO Esko Myllyla,1
Earlier today Geberit s Finnish rival Uponor OYJ cut its fullyear sales growth forecast to pct from pct blaming tough conditions in Germany and US as well as currency factors,0
Sainsbury sales slip again as price pressures take toll,0
hong kong home prices hit another record but could face headwinds,0
FTSE falls as China devaluation hits Burberry mining stocks,0
hong leong bank 4q net profit down on year at rm483m,0
offer deemed too low by Finnlines board stands until pm tomorrow,0
Lietuvos Respublikos sveikatos apsaugos ministerija awarded contract to UAB AFFECTO LIETUVA for financial systems software package,1
fgv s cfo ahmad tifli replied to showcause letter remains on leave of absence,0
number of permanent reductions of clerical workers employees of which in Finland,0
bermaz auto sees strong start to fy19 pays sen dividend,1
August Finnish measuring equipment maker Vaisala Oyj HEL VAIAS said today that its net loss widened to EUR4 m in first half of from EUR2 m in corresponding period year earlier,0
poh huat s 2q net profit falls declares sen dividend,0
In addition to Russia we now seek additional growth in Ukraine,1
marc assigns stable outlook to serba dinamik s islamic commercial papers,1
malaysia airlines to pass on psc savings to passengers on asean travel,1
Layoffs will also take place at Suomussalmi and Kuhmo plants this autumn as result of codetermination negotiations held there,0
fbm klci up before erasing gains as financial reporting season nears conclusion,1
Tesco leads leap in FTSE Marks Spencer drops,0
singapore s 3q gdp up on year in advance estimates,1
Jawad Williams scored points in impressive debut for Jerusalem with Jason Rich adding and Yuval Naimi chipping in with points for Hapoel which visits yellowandblue next week,1
hong kong s fwd to buy hsbc s stake in malaysian insurance venture sources,1
Very recommendable Nokian Z G2 according to ADAC judgement in latest summer tyre test of German automobile association ADAC,1
myix announces lower port fee to support local isps and others,1
Legal General arm buys pct stake in MediaCityUK in Manchester,1
Fewer multibuys hurt Sainsburys market share,0
gas malaysia s profit jumps in 2q on higher volume of natural gas sold,1
midf research upgrades sunway construction to buy raises target to rm132,1
asia exjapan may see less bountiful after record year of bond transactions debtwire,0
Outokumpu s steel mill in Tornio in Finland suspected source,0
Wartsila won contract in October and plant will installed at Manturovo in Kostroma region of Russia about km northeast of Moscow Russia,1
thailand holds key rate as it keeps watch on volatile baht,1
MD Henning Bahr of Stockmann Gruppen praises trend since chains become stronger and their decisionmaking processes more clear,1
cimb says it zero tolerance for staff who misuse information or position,1
Aggreko Profit Declines Quick Facts,0
Finnish national carrier said net loss in April through June euro26 million down from net profit of euro13 million year earlier,0
Finnish Ahlstrom Corporation will double its investments in new specialty glassfiber reinforcement plant in South Carolina in US,1
sgx signs moi with imda to lower barriers for tech companies to access capital markets,1
ADPnews Nov Four companies agreed to buy for combined SEK billion USD 854mEUR m all drug stores offered for sale as part of restructuring of Swedish statedowned pharmacy monopoly Apoteket AB t,1
